type;coord_x;coord_y;group;enemy_speed
"level";3360;480;1;None
"player";200;350;player;2:1
"platform";-240;459;platform;None
"platform";0;459;platform;None
"platform";240;459;platform;None
"platform";480;459;platform;None
"platform";720;459;platform;None
"platform";960;459;platform;None
"platform";1200;459;platform;None
"platform";1440;459;platform;None
"platform";1680;459;platform;None
"platform";1920;459;platform;None
"platform";2160;459;platform;None
"platform";2400;459;platform;None
"platform";2640;459;platform;None
"platform";2860;459;platform;None
"platform";3100;459;platform;None
"platform";3340;459;platform;None
"platform";400;438;border;None
"platform";740;364;border;None
"platform";1100;438;border;None
"platform";1840;280;border;None
"platform";2180;364;border;None
"platform";2520;280;border;None
"enemy";1840:1993;237;enemy;1
"enemy";2520:2673;237;enemy;1
"enemy";2180:2333;321;enemy;1
"enemy";1960:2553;414;enemy;1
"enemy";740:900;320;enemy;1
"enemy";640:1020;414;enemy;2
"flag";3200;369;None;None
