type;coord_x;coord_y;group;enemy_speed
"level";2400;480;1;None
"player";200;350;player;None
"platform";-240;459;platform;None
"platform";0;459;platform;None
"platform";240;459;platform;None
"platform";480;459;platform;None
"platform";720;459;platform;None
"platform";960;459;platform;None
"platform";1200;459;platform;None
"platform";1440;459;platform;None
"platform";1680;459;platform;None
"platform";1920;459;platform;None
"platform";2160;459;platform;None
"platform";2400;459;platform;None
"platform";500;350;border;None
"platform";500;230;border;None
"platform";900;230;border;None
"platform";1300;350;border;None
"platform";1700;230;border;None
"enemy";100:700;414;enemy;2
"enemy";500:660;184;enemy;2
"enemy";900:1060;184;enemy;3
"enemy";1700:1860;184;enemy;3
"enemy";1300:1460;304;enemy;1
"bullet";1350;304;bullet;None
"bullet";1400;304;bullet;None
"bullet";1450;304;bullet;None
"flag";2000;369;flag;None
